qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q1 - 0,0,0,1,Quarter 1,2009,5,5
Q1 - 1,0,1,1,Quarter 1,2009,6,6
Q1 - 2,0,2,1,Quarter 1,2009,10,10
Q1 - 3,3,3,1,Quarter 1,2009,12,12
Q1 - 4,3,4,1,Quarter 1,2009,17,17
Q1 - 5,3,5,1,Quarter 1,2009,12,12
Q1 - 6,6,6,1,Quarter 1,2009,16,16
Q1 - 7,6,7,1,Quarter 1,2009,22,22
Q1 - 8,6,8,1,Quarter 1,2009,17,17
Q1 - 9,9,9,1,Quarter 1,2009,24,24
Q1 - 10,9,10,1,Quarter 1,2009,10,10
Q1 - 11,9,11,1,Quarter 1,2009,16,16
Q1 - 12,12,12,1,Quarter 1,2009,22,22
Q1 - 13,12,13,1,Quarter 1,2009,30,30
Q1 - 14,12,14,1,Quarter 1,2009,14,14
Q1 - 15,15,15,1,Quarter 1,2009,16,16
Q1 - 0,0,0,1,Quarter 1,2010,5,5
Q1 - 1,0,1,1,Quarter 1,2010,2,2
Q1 - 2,0,2,1,Quarter 1,2010,11,11
Q1 - 3,3,3,1,Quarter 1,2010,16,16
Q1 - 4,3,4,1,Quarter 1,2010,15,15
Q1 - 5,3,5,1,Quarter 1,2010,20,20
Q1 - 6,6,6,1,Quarter 1,2010,15,15
Q1 - 7,6,7,1,Quarter 1,2010,15,15
Q1 - 8,6,8,1,Quarter 1,2010,17,17
Q1 - 9,9,9,1,Quarter 1,2010,16,16
Q1 - 10,9,10,1,Quarter 1,2010,23,23
Q1 - 11,9,11,1,Quarter 1,2010,23,23
Q1 - 12,12,12,1,Quarter 1,2010,14,14
Q1 - 13,12,13,1,Quarter 1,2010,25,25
Q1 - 14,12,14,1,Quarter 1,2010,20,20
Q1 - 15,15,15,1,Quarter 1,2010,16,16
Q1 - 0,0,0,1,Quarter 1,2011,4,4
Q1 - 1,0,1,1,Quarter 1,2011,4,4
Q1 - 2,0,2,1,Quarter 1,2011,11,11
Q1 - 3,3,3,1,Quarter 1,2011,12,12
Q1 - 4,3,4,1,Quarter 1,2011,11,11
Q1 - 5,3,5,1,Quarter 1,2011,18,18
Q1 - 6,6,6,1,Quarter 1,2011,24,24
Q1 - 7,6,7,1,Quarter 1,2011,18,18
Q1 - 8,6,8,1,Quarter 1,2011,16,16
Q1 - 9,9,9,1,Quarter 1,2011,21,21
Q1 - 10,9,10,1,Quarter 1,2011,26,26
Q1 - 11,9,11,1,Quarter 1,2011,11,11
Q1 - 12,12,12,1,Quarter 1,2011,27,27
Q1 - 13,12,13,1,Quarter 1,2011,17,17
Q1 - 14,12,14,1,Quarter 1,2011,19,19
Q1 - 15,15,15,1,Quarter 1,2011,20,20
Q1 - 0,0,0,1,Quarter 1,2012,8,8
Q1 - 1,0,1,1,Quarter 1,2012,5,5
Q1 - 2,0,2,1,Quarter 1,2012,9,9
Q1 - 3,3,3,1,Quarter 1,2012,11,11
Q1 - 4,3,4,1,Quarter 1,2012,19,19
Q1 - 5,3,5,1,Quarter 1,2012,24,24
Q1 - 6,6,6,1,Quarter 1,2012,18,18
Q1 - 7,6,7,1,Quarter 1,2012,16,16
Q1 - 8,6,8,1,Quarter 1,2012,21,21
Q1 - 9,9,9,1,Quarter 1,2012,17,17
Q1 - 10,9,10,1,Quarter 1,2012,15,15
Q1 - 11,9,11,1,Quarter 1,2012,21,21
Q1 - 12,12,12,1,Quarter 1,2012,31,31
Q1 - 13,12,13,1,Quarter 1,2012,17,17
Q1 - 14,12,14,1,Quarter 1,2012,19,19
Q1 - 15,15,15,1,Quarter 1,2012,23,23
Q1 - 0,0,0,1,Quarter 1,2013,4,4
Q1 - 1,0,1,1,Quarter 1,2013,8,8
Q1 - 2,0,2,1,Quarter 1,2013,10,10
Q1 - 3,3,3,1,Quarter 1,2013,14,14
Q1 - 4,3,4,1,Quarter 1,2013,14,14
Q1 - 5,3,5,1,Quarter 1,2013,26,26
Q1 - 6,6,6,1,Quarter 1,2013,24,24
Q1 - 7,6,7,1,Quarter 1,2013,20,20
Q1 - 8,6,8,1,Quarter 1,2013,16,16
Q1 - 9,9,9,1,Quarter 1,2013,18,18
Q1 - 10,9,10,1,Quarter 1,2013,20,20
Q1 - 11,9,11,1,Quarter 1,2013,18,18
Q1 - 12,12,12,1,Quarter 1,2013,18,18
Q1 - 13,12,13,1,Quarter 1,2013,24,24
Q1 - 14,12,14,1,Quarter 1,2013,25,25
Q1 - 15,15,15,1,Quarter 1,2013,15,15
Q1 - 0,0,0,1,Quarter 1,2014,2,2
Q1 - 1,0,1,1,Quarter 1,2014,7,7
Q1 - 2,0,2,1,Quarter 1,2014,7,7
Q1 - 3,3,3,1,Quarter 1,2014,16,16
Q1 - 4,3,4,1,Quarter 1,2014,20,20
Q1 - 5,3,5,1,Quarter 1,2014,16,16
Q1 - 6,6,6,1,Quarter 1,2014,21,21
Q1 - 7,6,7,1,Quarter 1,2014,15,15
Q1 - 8,6,8,1,Quarter 1,2014,18,18
Q1 - 9,9,9,1,Quarter 1,2014,25,25
Q1 - 10,9,10,1,Quarter 1,2014,14,14
Q1 - 11,9,11,1,Quarter 1,2014,23,23
Q1 - 12,12,12,1,Quarter 1,2014,26,26
Q1 - 13,12,13,1,Quarter 1,2014,20,20
Q1 - 14,12,14,1,Quarter 1,2014,17,17
Q1 - 15,15,15,1,Quarter 1,2014,21,21
Q1 - 0,0,0,1,Quarter 1,2015,2,2
Q1 - 1,0,1,1,Quarter 1,2015,3,3
Q1 - 2,0,2,1,Quarter 1,2015,4,4
Q1 - 3,3,3,1,Quarter 1,2015,12,12
Q1 - 4,3,4,1,Quarter 1,2015,16,16
Q1 - 5,3,5,1,Quarter 1,2015,22,22
Q1 - 6,6,6,1,Quarter 1,2015,25,25
Q1 - 7,6,7,1,Quarter 1,2015,15,15
Q1 - 8,6,8,1,Quarter 1,2015,19,19
Q1 - 9,9,9,1,Quarter 1,2015,17,17
Q1 - 10,9,10,1,Quarter 1,2015,18,18
Q1 - 11,9,11,1,Quarter 1,2015,16,16
Q1 - 12,12,12,1,Quarter 1,2015,22,22
Q1 - 13,12,13,1,Quarter 1,2015,16,16
Q1 - 14,12,14,1,Quarter 1,2015,24,24
Q1 - 15,15,15,1,Quarter 1,2015,25,25
Q1 - 0,0,0,1,Quarter 1,2016,1,1
Q1 - 1,0,1,1,Quarter 1,2016,3,3
Q1 - 2,0,2,1,Quarter 1,2016,5,5
Q1 - 3,3,3,1,Quarter 1,2016,12,12
Q1 - 4,3,4,1,Quarter 1,2016,20,20
Q1 - 5,3,5,1,Quarter 1,2016,30,30
Q1 - 6,6,6,1,Quarter 1,2016,26,26
Q1 - 7,6,7,1,Quarter 1,2016,15,15
Q1 - 8,6,8,1,Quarter 1,2016,22,22
Q1 - 9,9,9,1,Quarter 1,2016,22,22
Q1 - 10,9,10,1,Quarter 1,2016,19,19
Q1 - 11,9,11,1,Quarter 1,2016,22,22
Q1 - 12,12,12,1,Quarter 1,2016,18,18
Q1 - 13,12,13,1,Quarter 1,2016,15,15
Q1 - 14,12,14,1,Quarter 1,2016,24,24
Q1 - 15,15,15,1,Quarter 1,2016,22,22
Q2 - 0,0,0,1,Quarter 2,2009,15,15
Q2 - 1,0,1,1,Quarter 2,2009,12,12
Q2 - 2,0,2,1,Quarter 2,2009,13,13
Q2 - 3,3,3,1,Quarter 2,2009,18,18
Q2 - 4,3,4,1,Quarter 2,2009,25,25
Q2 - 5,3,5,1,Quarter 2,2009,32,32
Q2 - 6,6,6,1,Quarter 2,2009,18,18
Q2 - 7,6,7,1,Quarter 2,2009,18,18
Q2 - 8,6,8,1,Quarter 2,2009,20,20
Q2 - 9,9,9,1,Quarter 2,2009,16,16
Q2 - 10,9,10,1,Quarter 2,2009,28,28
Q2 - 11,9,11,1,Quarter 2,2009,26,26
Q2 - 12,12,12,1,Quarter 2,2009,19,19
Q2 - 13,12,13,1,Quarter 2,2009,34,34
Q2 - 14,12,14,1,Quarter 2,2009,43,43
Q2 - 15,15,15,1,Quarter 2,2009,65,65
Q2 - 0,0,0,1,Quarter 2,2010,15,15
Q2 - 1,0,1,1,Quarter 2,2010,19,19
Q2 - 2,0,2,1,Quarter 2,2010,20,20
Q2 - 3,3,3,1,Quarter 2,2010,23,23
Q2 - 4,3,4,1,Quarter 2,2010,20,20
Q2 - 5,3,5,1,Quarter 2,2010,28,28
Q2 - 6,6,6,1,Quarter 2,2010,22,22
Q2 - 7,6,7,1,Quarter 2,2010,23,23
Q2 - 8,6,8,1,Quarter 2,2010,16,16
Q2 - 9,9,9,1,Quarter 2,2010,19,19
Q2 - 10,9,10,1,Quarter 2,2010,19,19
Q2 - 11,9,11,1,Quarter 2,2010,17,17
Q2 - 12,12,12,1,Quarter 2,2010,20,20
Q2 - 13,12,13,1,Quarter 2,2010,32,32
Q2 - 14,12,14,1,Quarter 2,2010,29,29
Q2 - 15,15,15,1,Quarter 2,2010,71,71
Q2 - 0,0,0,1,Quarter 2,2011,12,12
Q2 - 1,0,1,1,Quarter 2,2011,16,16
Q2 - 2,0,2,1,Quarter 2,2011,20,20
Q2 - 3,3,3,1,Quarter 2,2011,28,28
Q2 - 4,3,4,1,Quarter 2,2011,18,18
Q2 - 5,3,5,1,Quarter 2,2011,22,22
Q2 - 6,6,6,1,Quarter 2,2011,16,16
Q2 - 7,6,7,1,Quarter 2,2011,27,27
Q2 - 8,6,8,1,Quarter 2,2011,21,21
Q2 - 9,9,9,1,Quarter 2,2011,13,13
Q2 - 10,9,10,1,Quarter 2,2011,7,7
Q2 - 11,9,11,1,Quarter 2,2011,23,23
Q2 - 12,12,12,1,Quarter 2,2011,19,19
Q2 - 13,12,13,1,Quarter 2,2011,27,27
Q2 - 14,12,14,1,Quarter 2,2011,40,40
Q2 - 15,15,15,1,Quarter 2,2011,56,56
Q2 - 0,0,0,1,Quarter 2,2012,12,12
Q2 - 1,0,1,1,Quarter 2,2012,14,14
Q2 - 2,0,2,1,Quarter 2,2012,15,15
Q2 - 3,3,3,1,Quarter 2,2012,26,26
Q2 - 4,3,4,1,Quarter 2,2012,18,18
Q2 - 5,3,5,1,Quarter 2,2012,20,20
Q2 - 6,6,6,1,Quarter 2,2012,19,19
Q2 - 7,6,7,1,Quarter 2,2012,23,23
Q2 - 8,6,8,1,Quarter 2,2012,20,20
Q2 - 9,9,9,1,Quarter 2,2012,22,22
Q2 - 10,9,10,1,Quarter 2,2012,18,18
Q2 - 11,9,11,1,Quarter 2,2012,16,16
Q2 - 12,12,12,1,Quarter 2,2012,20,20
Q2 - 13,12,13,1,Quarter 2,2012,28,28
Q2 - 14,12,14,1,Quarter 2,2012,39,39
Q2 - 15,15,15,1,Quarter 2,2012,66,66
Q2 - 0,0,0,1,Quarter 2,2013,13,13
Q2 - 1,0,1,1,Quarter 2,2013,18,18
Q2 - 2,0,2,1,Quarter 2,2013,18,18
Q2 - 3,3,3,1,Quarter 2,2013,17,17
Q2 - 4,3,4,1,Quarter 2,2013,23,23
Q2 - 5,3,5,1,Quarter 2,2013,21,21
Q2 - 6,6,6,1,Quarter 2,2013,18,18
Q2 - 7,6,7,1,Quarter 2,2013,19,19
Q2 - 8,6,8,1,Quarter 2,2013,22,22
Q2 - 9,9,9,1,Quarter 2,2013,23,23
Q2 - 10,9,10,1,Quarter 2,2013,23,23
Q2 - 11,9,11,1,Quarter 2,2013,15,15
Q2 - 12,12,12,1,Quarter 2,2013,27,27
Q2 - 13,12,13,1,Quarter 2,2013,35,35
Q2 - 14,12,14,1,Quarter 2,2013,37,37
Q2 - 15,15,15,1,Quarter 2,2013,66,66
Q2 - 0,0,0,1,Quarter 2,2014,15,15
Q2 - 1,0,1,1,Quarter 2,2014,17,17
Q2 - 2,0,2,1,Quarter 2,2014,20,20
Q2 - 3,3,3,1,Quarter 2,2014,20,20
Q2 - 4,3,4,1,Quarter 2,2014,23,23
Q2 - 5,3,5,1,Quarter 2,2014,16,16
Q2 - 6,6,6,1,Quarter 2,2014,15,15
Q2 - 7,6,7,1,Quarter 2,2014,18,18
Q2 - 8,6,8,1,Quarter 2,2014,14,14
Q2 - 9,9,9,1,Quarter 2,2014,23,23
Q2 - 10,9,10,1,Quarter 2,2014,18,18
Q2 - 11,9,11,1,Quarter 2,2014,20,20
Q2 - 12,12,12,1,Quarter 2,2014,25,25
Q2 - 13,12,13,1,Quarter 2,2014,33,33
Q2 - 14,12,14,1,Quarter 2,2014,29,29
Q2 - 15,15,15,1,Quarter 2,2014,69,69
Q2 - 0,0,0,1,Quarter 2,2015,18,18
Q2 - 1,0,1,1,Quarter 2,2015,23,23
Q2 - 2,0,2,1,Quarter 2,2015,14,14
Q2 - 3,3,3,1,Quarter 2,2015,21,21
Q2 - 4,3,4,1,Quarter 2,2015,25,25
Q2 - 5,3,5,1,Quarter 2,2015,21,21
Q2 - 6,6,6,1,Quarter 2,2015,14,14
Q2 - 7,6,7,1,Quarter 2,2015,19,19
Q2 - 8,6,8,1,Quarter 2,2015,14,14
Q2 - 9,9,9,1,Quarter 2,2015,14,14
Q2 - 10,9,10,1,Quarter 2,2015,22,22
Q2 - 11,9,11,1,Quarter 2,2015,22,22
Q2 - 12,12,12,1,Quarter 2,2015,21,21
Q2 - 13,12,13,1,Quarter 2,2015,37,37
Q2 - 14,12,14,1,Quarter 2,2015,38,38
Q2 - 15,15,15,1,Quarter 2,2015,72,72
Q2 - 0,0,0,1,Quarter 2,2016,17,17
Q2 - 1,0,1,1,Quarter 2,2016,19,19
Q2 - 2,0,2,1,Quarter 2,2016,14,14
Q2 - 3,3,3,1,Quarter 2,2016,22,22
Q2 - 4,3,4,1,Quarter 2,2016,20,20
Q2 - 5,3,5,1,Quarter 2,2016,23,23
Q2 - 6,6,6,1,Quarter 2,2016,31,31
Q2 - 7,6,7,1,Quarter 2,2016,14,14
Q2 - 8,6,8,1,Quarter 2,2016,26,26
Q2 - 9,9,9,1,Quarter 2,2016,19,19
Q2 - 10,9,10,1,Quarter 2,2016,18,18
Q2 - 11,9,11,1,Quarter 2,2016,20,20
Q2 - 12,12,12,1,Quarter 2,2016,21,21
Q2 - 13,12,13,1,Quarter 2,2016,24,24
