qtrMinute,Minute (bin),Minute,Number of Records,Qtr,Season,Touchdowns (copy),Touchdowns
Q2 - 14,12,14,1,Quarter 2,2016,32,32
Q2 - 15,15,15,1,Quarter 2,2016,72,72
Q3 - 0,0,0,1,Quarter 3,2009,11,11
Q3 - 1,0,1,1,Quarter 3,2009,4,4
Q3 - 2,0,2,1,Quarter 3,2009,8,8
Q3 - 3,3,3,1,Quarter 3,2009,6,6
Q3 - 4,3,4,1,Quarter 3,2009,17,17
Q3 - 5,3,5,1,Quarter 3,2009,25,25
Q3 - 6,6,6,1,Quarter 3,2009,17,17
Q3 - 7,6,7,1,Quarter 3,2009,21,21
Q3 - 8,6,8,1,Quarter 3,2009,18,18
Q3 - 9,9,9,1,Quarter 3,2009,18,18
Q3 - 10,9,10,1,Quarter 3,2009,21,21
Q3 - 11,9,11,1,Quarter 3,2009,15,15
Q3 - 12,12,12,1,Quarter 3,2009,19,19
Q3 - 13,12,13,1,Quarter 3,2009,20,20
Q3 - 14,12,14,1,Quarter 3,2009,23,23
Q3 - 15,15,15,1,Quarter 3,2009,13,13
Q3 - 0,0,0,1,Quarter 3,2010,11,11
Q3 - 1,0,1,1,Quarter 3,2010,11,11
Q3 - 2,0,2,1,Quarter 3,2010,12,12
Q3 - 3,3,3,1,Quarter 3,2010,16,16
Q3 - 4,3,4,1,Quarter 3,2010,17,17
Q3 - 5,3,5,1,Quarter 3,2010,15,15
Q3 - 6,6,6,1,Quarter 3,2010,21,21
Q3 - 7,6,7,1,Quarter 3,2010,18,18
Q3 - 8,6,8,1,Quarter 3,2010,19,19
Q3 - 9,9,9,1,Quarter 3,2010,26,26
Q3 - 10,9,10,1,Quarter 3,2010,21,21
Q3 - 11,9,11,1,Quarter 3,2010,22,22
Q3 - 12,12,12,1,Quarter 3,2010,14,14
Q3 - 13,12,13,1,Quarter 3,2010,18,18
Q3 - 14,12,14,1,Quarter 3,2010,22,22
Q3 - 15,15,15,1,Quarter 3,2010,17,17
Q3 - 0,0,0,1,Quarter 3,2011,2,2
Q3 - 1,0,1,1,Quarter 3,2011,3,3
Q3 - 2,0,2,1,Quarter 3,2011,7,7
Q3 - 3,3,3,1,Quarter 3,2011,19,19
Q3 - 4,3,4,1,Quarter 3,2011,19,19
Q3 - 5,3,5,1,Quarter 3,2011,25,25
Q3 - 6,6,6,1,Quarter 3,2011,21,21
Q3 - 7,6,7,1,Quarter 3,2011,22,22
Q3 - 8,6,8,1,Quarter 3,2011,14,14
Q3 - 9,9,9,1,Quarter 3,2011,26,26
Q3 - 10,9,10,1,Quarter 3,2011,16,16
Q3 - 11,9,11,1,Quarter 3,2011,22,22
Q3 - 12,12,12,1,Quarter 3,2011,26,26
Q3 - 13,12,13,1,Quarter 3,2011,21,21
Q3 - 14,12,14,1,Quarter 3,2011,20,20
Q3 - 15,15,15,1,Quarter 3,2011,18,18
Q3 - 0,0,0,1,Quarter 3,2012,5,5
Q3 - 1,0,1,1,Quarter 3,2012,6,6
Q3 - 2,0,2,1,Quarter 3,2012,9,9
Q3 - 3,3,3,1,Quarter 3,2012,21,21
Q3 - 4,3,4,1,Quarter 3,2012,25,25
Q3 - 5,3,5,1,Quarter 3,2012,22,22
Q3 - 6,6,6,1,Quarter 3,2012,21,21
Q3 - 7,6,7,1,Quarter 3,2012,21,21
Q3 - 8,6,8,1,Quarter 3,2012,18,18
Q3 - 9,9,9,1,Quarter 3,2012,19,19
Q3 - 10,9,10,1,Quarter 3,2012,26,26
Q3 - 11,9,11,1,Quarter 3,2012,23,23
Q3 - 12,12,12,1,Quarter 3,2012,22,22
Q3 - 13,12,13,1,Quarter 3,2012,18,18
Q3 - 14,12,14,1,Quarter 3,2012,18,18
Q3 - 15,15,15,1,Quarter 3,2012,17,17
Q3 - 0,0,0,1,Quarter 3,2013,2,2
Q3 - 1,0,1,1,Quarter 3,2013,8,8
Q3 - 2,0,2,1,Quarter 3,2013,7,7
Q3 - 3,3,3,1,Quarter 3,2013,15,15
Q3 - 4,3,4,1,Quarter 3,2013,22,22
Q3 - 5,3,5,1,Quarter 3,2013,24,24
Q3 - 6,6,6,1,Quarter 3,2013,27,27
Q3 - 7,6,7,1,Quarter 3,2013,21,21
Q3 - 8,6,8,1,Quarter 3,2013,27,27
Q3 - 9,9,9,1,Quarter 3,2013,23,23
Q3 - 10,9,10,1,Quarter 3,2013,31,31
Q3 - 11,9,11,1,Quarter 3,2013,16,16
Q3 - 12,12,12,1,Quarter 3,2013,21,21
Q3 - 13,12,13,1,Quarter 3,2013,22,22
Q3 - 14,12,14,1,Quarter 3,2013,28,28
Q3 - 15,15,15,1,Quarter 3,2013,22,22
Q3 - 0,0,0,1,Quarter 3,2014,3,3
Q3 - 1,0,1,1,Quarter 3,2014,8,8
Q3 - 2,0,2,1,Quarter 3,2014,7,7
Q3 - 3,3,3,1,Quarter 3,2014,20,20
Q3 - 4,3,4,1,Quarter 3,2014,26,26
Q3 - 5,3,5,1,Quarter 3,2014,16,16
Q3 - 6,6,6,1,Quarter 3,2014,20,20
Q3 - 7,6,7,1,Quarter 3,2014,21,21
Q3 - 8,6,8,1,Quarter 3,2014,23,23
Q3 - 9,9,9,1,Quarter 3,2014,22,22
Q3 - 10,9,10,1,Quarter 3,2014,25,25
Q3 - 11,9,11,1,Quarter 3,2014,24,24
Q3 - 12,12,12,1,Quarter 3,2014,22,22
Q3 - 13,12,13,1,Quarter 3,2014,38,38
Q3 - 14,12,14,1,Quarter 3,2014,13,13
Q3 - 15,15,15,1,Quarter 3,2014,21,21
Q3 - 0,0,0,1,Quarter 3,2015,2,2
Q3 - 1,0,1,1,Quarter 3,2015,5,5
Q3 - 2,0,2,1,Quarter 3,2015,8,8
Q3 - 3,3,3,1,Quarter 3,2015,12,12
Q3 - 4,3,4,1,Quarter 3,2015,25,25
Q3 - 5,3,5,1,Quarter 3,2015,25,25
Q3 - 6,6,6,1,Quarter 3,2015,19,19
Q3 - 7,6,7,1,Quarter 3,2015,23,23
Q3 - 8,6,8,1,Quarter 3,2015,25,25
Q3 - 9,9,9,1,Quarter 3,2015,24,24
Q3 - 10,9,10,1,Quarter 3,2015,26,26
Q3 - 11,9,11,1,Quarter 3,2015,19,19
Q3 - 12,12,12,1,Quarter 3,2015,24,24
Q3 - 13,12,13,1,Quarter 3,2015,15,15
Q3 - 14,12,14,1,Quarter 3,2015,19,19
Q3 - 15,15,15,1,Quarter 3,2015,19,19
Q3 - 0,0,0,1,Quarter 3,2016,4,4
Q3 - 1,0,1,1,Quarter 3,2016,9,9
Q3 - 2,0,2,1,Quarter 3,2016,8,8
Q3 - 3,3,3,1,Quarter 3,2016,11,11
Q3 - 4,3,4,1,Quarter 3,2016,16,16
Q3 - 5,3,5,1,Quarter 3,2016,17,17
Q3 - 6,6,6,1,Quarter 3,2016,19,19
Q3 - 7,6,7,1,Quarter 3,2016,23,23
Q3 - 8,6,8,1,Quarter 3,2016,20,20
Q3 - 9,9,9,1,Quarter 3,2016,22,22
Q3 - 10,9,10,1,Quarter 3,2016,25,25
Q3 - 11,9,11,1,Quarter 3,2016,17,17
Q3 - 12,12,12,1,Quarter 3,2016,22,22
Q3 - 13,12,13,1,Quarter 3,2016,20,20
Q3 - 14,12,14,1,Quarter 3,2016,23,23
Q3 - 15,15,15,1,Quarter 3,2016,12,12
Q4 - 0,0,0,1,Quarter 4,2009,10,10
Q4 - 1,0,1,1,Quarter 4,2009,16,16
Q4 - 2,0,2,1,Quarter 4,2009,23,23
Q4 - 3,3,3,1,Quarter 4,2009,26,26
Q4 - 4,3,4,1,Quarter 4,2009,12,12
Q4 - 5,3,5,1,Quarter 4,2009,17,17
Q4 - 6,6,6,1,Quarter 4,2009,25,25
Q4 - 7,6,7,1,Quarter 4,2009,23,23
Q4 - 8,6,8,1,Quarter 4,2009,23,23
Q4 - 9,9,9,1,Quarter 4,2009,19,19
Q4 - 10,9,10,1,Quarter 4,2009,30,30
Q4 - 11,9,11,1,Quarter 4,2009,15,15
Q4 - 12,12,12,1,Quarter 4,2009,25,25
Q4 - 13,12,13,1,Quarter 4,2009,39,39
Q4 - 14,12,14,1,Quarter 4,2009,25,25
Q4 - 15,15,15,1,Quarter 4,2009,35,35
Q4 - 0,0,0,1,Quarter 4,2010,16,16
Q4 - 1,0,1,1,Quarter 4,2010,11,11
Q4 - 2,0,2,1,Quarter 4,2010,21,21
Q4 - 3,3,3,1,Quarter 4,2010,14,14
Q4 - 4,3,4,1,Quarter 4,2010,22,22
Q4 - 5,3,5,1,Quarter 4,2010,14,14
Q4 - 6,6,6,1,Quarter 4,2010,16,16
Q4 - 7,6,7,1,Quarter 4,2010,21,21
Q4 - 8,6,8,1,Quarter 4,2010,20,20
Q4 - 9,9,9,1,Quarter 4,2010,22,22
Q4 - 10,9,10,1,Quarter 4,2010,19,19
Q4 - 11,9,11,1,Quarter 4,2010,35,35
Q4 - 12,12,12,1,Quarter 4,2010,35,35
Q4 - 13,12,13,1,Quarter 4,2010,35,35
Q4 - 14,12,14,1,Quarter 4,2010,32,32
Q4 - 15,15,15,1,Quarter 4,2010,29,29
Q4 - 0,0,0,1,Quarter 4,2011,13,13
Q4 - 1,0,1,1,Quarter 4,2011,16,16
Q4 - 2,0,2,1,Quarter 4,2011,18,18
Q4 - 3,3,3,1,Quarter 4,2011,31,31
Q4 - 4,3,4,1,Quarter 4,2011,18,18
Q4 - 5,3,5,1,Quarter 4,2011,18,18
Q4 - 6,6,6,1,Quarter 4,2011,23,23
Q4 - 7,6,7,1,Quarter 4,2011,21,21
Q4 - 8,6,8,1,Quarter 4,2011,23,23
Q4 - 9,9,9,1,Quarter 4,2011,21,21
Q4 - 10,9,10,1,Quarter 4,2011,35,35
Q4 - 11,9,11,1,Quarter 4,2011,30,30
Q4 - 12,12,12,1,Quarter 4,2011,40,40
Q4 - 13,12,13,1,Quarter 4,2011,33,33
Q4 - 14,12,14,1,Quarter 4,2011,24,24
Q4 - 15,15,15,1,Quarter 4,2011,28,28
Q4 - 0,0,0,1,Quarter 4,2012,13,13
Q4 - 1,0,1,1,Quarter 4,2012,27,27
Q4 - 2,0,2,1,Quarter 4,2012,17,17
Q4 - 3,3,3,1,Quarter 4,2012,19,19
Q4 - 4,3,4,1,Quarter 4,2012,22,22
Q4 - 5,3,5,1,Quarter 4,2012,18,18
Q4 - 6,6,6,1,Quarter 4,2012,19,19
Q4 - 7,6,7,1,Quarter 4,2012,30,30
Q4 - 8,6,8,1,Quarter 4,2012,21,21
Q4 - 9,9,9,1,Quarter 4,2012,33,33
Q4 - 10,9,10,1,Quarter 4,2012,22,22
Q4 - 11,9,11,1,Quarter 4,2012,27,27
Q4 - 12,12,12,1,Quarter 4,2012,25,25
Q4 - 13,12,13,1,Quarter 4,2012,31,31
Q4 - 14,12,14,1,Quarter 4,2012,33,33
Q4 - 15,15,15,1,Quarter 4,2012,31,31
Q4 - 0,0,0,1,Quarter 4,2013,14,14
Q4 - 1,0,1,1,Quarter 4,2013,25,25
Q4 - 2,0,2,1,Quarter 4,2013,24,24
Q4 - 3,3,3,1,Quarter 4,2013,23,23
Q4 - 4,3,4,1,Quarter 4,2013,22,22
Q4 - 5,3,5,1,Quarter 4,2013,17,17
Q4 - 6,6,6,1,Quarter 4,2013,25,25
Q4 - 7,6,7,1,Quarter 4,2013,22,22
Q4 - 8,6,8,1,Quarter 4,2013,20,20
Q4 - 9,9,9,1,Quarter 4,2013,23,23
Q4 - 10,9,10,1,Quarter 4,2013,18,18
Q4 - 11,9,11,1,Quarter 4,2013,35,35
Q4 - 12,12,12,1,Quarter 4,2013,24,24
Q4 - 13,12,13,1,Quarter 4,2013,35,35
Q4 - 14,12,14,1,Quarter 4,2013,29,29
Q4 - 15,15,15,1,Quarter 4,2013,32,32
Q4 - 0,0,0,1,Quarter 4,2014,13,13
Q4 - 1,0,1,1,Quarter 4,2014,17,17
Q4 - 2,0,2,1,Quarter 4,2014,22,22
Q4 - 3,3,3,1,Quarter 4,2014,16,16
Q4 - 4,3,4,1,Quarter 4,2014,17,17
Q4 - 5,3,5,1,Quarter 4,2014,27,27
Q4 - 6,6,6,1,Quarter 4,2014,32,32
Q4 - 7,6,7,1,Quarter 4,2014,19,19
Q4 - 8,6,8,1,Quarter 4,2014,26,26
Q4 - 9,9,9,1,Quarter 4,2014,23,23
Q4 - 10,9,10,1,Quarter 4,2014,20,20
Q4 - 11,9,11,1,Quarter 4,2014,21,21
Q4 - 12,12,12,1,Quarter 4,2014,29,29
Q4 - 13,12,13,1,Quarter 4,2014,25,25
Q4 - 14,12,14,1,Quarter 4,2014,30,30
Q4 - 15,15,15,1,Quarter 4,2014,26,26
Q4 - 0,0,0,1,Quarter 4,2015,14,14
Q4 - 1,0,1,1,Quarter 4,2015,15,15
Q4 - 2,0,2,1,Quarter 4,2015,16,16
Q4 - 3,3,3,1,Quarter 4,2015,21,21
Q4 - 4,3,4,1,Quarter 4,2015,24,24
Q4 - 5,3,5,1,Quarter 4,2015,26,26
Q4 - 6,6,6,1,Quarter 4,2015,28,28
Q4 - 7,6,7,1,Quarter 4,2015,34,34
Q4 - 8,6,8,1,Quarter 4,2015,24,24
Q4 - 9,9,9,1,Quarter 4,2015,17,17
Q4 - 10,9,10,1,Quarter 4,2015,19,19
Q4 - 11,9,11,1,Quarter 4,2015,30,30
Q4 - 12,12,12,1,Quarter 4,2015,26,26
Q4 - 13,12,13,1,Quarter 4,2015,34,34
Q4 - 14,12,14,1,Quarter 4,2015,39,39
Q4 - 15,15,15,1,Quarter 4,2015,37,37
Q4 - 0,0,0,1,Quarter 4,2016,15,15
Q4 - 1,0,1,1,Quarter 4,2016,18,18
Q4 - 2,0,2,1,Quarter 4,2016,16,16
Q4 - 3,3,3,1,Quarter 4,2016,22,22
Q4 - 4,3,4,1,Quarter 4,2016,21,21
Q4 - 5,3,5,1,Quarter 4,2016,23,23
Q4 - 6,6,6,1,Quarter 4,2016,23,23
Q4 - 7,6,7,1,Quarter 4,2016,23,23
Q4 - 8,6,8,1,Quarter 4,2016,17,17
Q4 - 9,9,9,1,Quarter 4,2016,24,24
Q4 - 10,9,10,1,Quarter 4,2016,23,23
Q4 - 11,9,11,1,Quarter 4,2016,26,26
Q4 - 12,12,12,1,Quarter 4,2016,27,27
Q4 - 13,12,13,1,Quarter 4,2016,44,44
Q4 - 14,12,14,1,Quarter 4,2016,30,30
Q4 - 15,15,15,1,Quarter 4,2016,34,34
